KMtraveled,color,doorNumber,engine,fuelConsumption,gear,name,origin,price,status
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
KMtraveled,color,doorNumber,engine,fuelConsumption,gear,name,origin,price,status
170000,Bạc,5,Số tay,2,8,Bán ô tô Chevrolet Captiva LT 2.4 MT - 2007 - xe cũ,Lắp ráp trong nước,168 triệu,Đã qua sử dụng
0,Trắng,4,Số tay,,0,Bán ô tô Isuzu Dmax LS 2.5 4x2 MT - 2016 - xe cũ,Nhập khẩu,360 triệu,Đã qua sử dụng
58000,Trắng,5,Số tự động,,0,Bán ô tô Honda CRV L - 2018 - xe cũ,Nhập khẩu,795 triệu,Đã qua sử dụng
105000,Bạc,5,Số tự động,1,7,Bán ô tô Chevrolet Spark LTZ 1.0 AT - 2014 - xe cũ,Lắp ráp trong nước,185 triệu,Đã qua sử dụng
50000,Cát,5,Số tự động,,0,Bán ô tô Kia Rondo GAT Deluxe - 2019 - xe cũ,Lắp ráp trong nước,535 triệu,Đã qua sử dụng
28000,Đen,4,Số tự động,,0,Bán ô tô Lexus ES 250 - 2021 - xe cũ,Nhập khẩu,2.34 tỉ,Đã qua sử dụng
11000,Bạc,4,Số tự động,,7,Bán ô tô Kia Rondo GAT - 2017 - xe cũ,Lắp ráp trong nước,468 triệu,Đã qua sử dụng
0,Đen,5,Số tự động,,0,Bán ô tô Porsche Cayenne 3.0 V6 - 2021 - xe cũ,Nhập khẩu,5.9 tỉ,Đã qua sử dụng
10000,Đen,4,Số tự động,,0,Bán ô tô Honda City L 1.5 AT - 2021 - xe cũ,Lắp ráp trong nước,495 triệu,Đã qua sử dụng
0,Đỏ,4,Số tự động,,0,Bán ô tô Toyota Hilux 2.8L 4x4 AT - 2021 - xe cũ,Nhập khẩu,880 triệu,Đã qua sử dụng
82000,Xanh,5,Số tự động,2,8,Bán ô tô Honda CRV 2.4 AT - 2014 - xe cũ,Lắp ráp trong nước,555 triệu,Đã qua sử dụng
0,Trắng,5,Số tự động,,0,Bán ô tô Hyundai SantaFe 2.2L 4WD - 2017 - xe cũ,Lắp ráp trong nước,800 triệu,Đã qua sử dụng
33000,Đen,5,Số tự động,,0,Bán ô tô Hyundai Kona 2.0 ATH - 2020 - xe cũ,Lắp ráp trong nước,585 triệu,Đã qua sử dụng
0,Trắng,5,Số tự động,2,6,Bán ô tô Hyundai SantaFe Tiêu chuẩn 2.2L - 2023 - xe mới,Lắp ráp trong nước,1.1 tỉ,Mới
54000,0,4,Số tự động,,Xăng,Chính chủ bán xe Honda City 1.5 Top CVT sản xuất 2019,Nhập khẩu,420 triệu,Đã qua sử dụng
100000,Trắng,4,Số tay,,8,Bán ô tô Hyundai Elantra MT - 2008 - xe cũ,Nhập khẩu,165 triệu,Đã qua sử dụng
110000,Đen,5,Số tay,1,7,Bán ô tô Nissan Grand livina 1.8 MT - 2011 - xe cũ,Lắp ráp trong nước,210 triệu,Đã qua sử dụng
3000,Đen,4,Số tự động,,0,Bán ô tô Volvo S90 Inscription LWB B6 AWD - 2022 - xe cũ,Nhập khẩu,2.199 tỉ,Đã qua sử dụng
